MAL-00001 | Fullmetal Alchemist: Brotherhood | Type: Movie | Score: 5.01 | Genre: Comedy
MAL-00002 | Frieren: Beyond Journey's End | Type: OVA | Score: 5.02 | Genre: Drama
MAL-00003 | Steins;Gate | Type: ONA | Score: 5.03 | Genre: Fantasy
MAL-00004 | Attack on Titan | Type: Special | Score: 5.04 | Genre: Sci-Fi
MAL-00005 | Hunter x Hunter | Type: TV | Score: 5.05 | Genre: Slice of Life
MAL-00006 | Bleach: Thousand-Year Blood War | Type: Movie | Score: 5.06 | Genre: Romance
MAL-00007 | Gintama | Type: OVA | Score: 5.07 | Genre: Suspense
MAL-00008 | One Piece | Type: ONA | Score: 5.08 | Genre: Adventure
MAL-00009 | Naruto: Shippuden | Type: Special | Score: 5.09 | Genre: Sports
MAL-00010 | Re:Zero - Starting Life in Another World | Type: TV | Score: 5.1 | Genre: Action
MAL-00011 | Jujutsu Kaisen | Type: Movie | Score: 5.11 | Genre: Comedy
MAL-00012 | Demon Slayer: Kimetsu no Yaiba | Type: OVA | Score: 5.12 | Genre: Drama
MAL-00013 | Chainsaw Man | Type: ONA | Score: 5.13 | Genre: Fantasy
MAL-00014 | Cowboy Bebop | Type: Special | Score: 5.14 | Genre: Sci-Fi
MAL-00015 | Neon Genesis Evangelion | Type: TV | Score: 5.15 | Genre: Slice of Life
MAL-00016 | Code Geass: Lelouch of the Rebellion | Type: Movie | Score: 5.16 | Genre: Romance
MAL-00017 | Death Note | Type: OVA | Score: 5.17 | Genre: Suspense
MAL-00018 | Monster | Type: ONA | Score: 5.18 | Genre: Adventure
MAL-00019 | Hajime no Ippo | Type: Special | Score: 5.19 | Genre: Sports
MAL-00020 | Vinland Saga | Type: TV | Score: 5.2 | Genre: Action
MAL-00021 | Mob Psycho 100 | Type: Movie | Score: 5.21 | Genre: Comedy
MAL-00022 | One Punch Man | Type: OVA | Score: 5.22 | Genre: Drama
MAL-00023 | My Hero Academia | Type: ONA | Score: 5.23 | Genre: Fantasy
MAL-00024 | Black Clover | Type: Special | Score: 5.24 | Genre: Sci-Fi
MAL-00025 | Sword Art Online | Type: TV | Score: 5.25 | Genre: Slice of Life
MAL-00026 | Tokyo Ghoul | Type: Movie | Score: 5.26 | Genre: Romance
MAL-00027 | Your Name. | Type: OVA | Score: 5.27 | Genre: Suspense
MAL-00028 | Spirited Away | Type: ONA | Score: 5.28 | Genre: Adventure
MAL-00029 | A Silent Voice | Type: Special | Score: 5.29 | Genre: Sports
